objectid,type,format,subject,identifier,creator,culture,date,title,materials,measurements,filename,credit,published,web_page,origin,description,altnum
427,Image;StillImage,image/jpeg,"Heinrichs, Joseph;American;Copper;New York, New York",JSMA2014:38.1,"Heinrichs, Joseph",American,ca. 1900,Canister,Copper,H. 4-1/2 x Diam. 3 inches,jsma2014_38_1,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27156;type=101,"New York, New York",Small copper canister with visible hammer marks.,N1482
314,Image;StillImage,image/jpeg,"van Erp, Dirk;American;Copper;San Francisco, California",JSMA2014:38.10,"van Erp, Dirk",American,ca. 1913-15,Basket,Copper,overall: H. 7 1/2 x W. 10 1/2 in; H. 19.05 x W. 26.67 cm,jsma2014_38_10,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27165;type=101,"San Francisco, California","Copper basket with hammered finish and handle attached with visible rivets, handle decorated with two arrow cutouts.",N0061
429,Image;StillImage,image/jpeg,Unknown;British;Copper and brass with enamel cabochons;England,JSMA2014:38.11,Unknown,British,ca. 1900,Box,Copper and brass with enamel cabochons,H. 2-5/16 x W. 8 x D. 4-1/4 inches,jsma2014_38_11,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27166;type=101,England,"Handwrought copper box with brass strapwork corners forming bracket feet, three bezel-set blue-green enamel cabochons.",N0012
254,Image;StillImage,image/jpeg,"Berry, Albert;American;Copper with mother-of-pearl cabochons;Seattle, Washington",JSMA2014:38.12,"Berry, Albert",American,ca. 1920,Pen tray,Copper with mother-of-pearl cabochons,W. 10-1/2 x D. 4-3/16 inches,jsma2014_38_12,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27167;type=101,"Seattle, Washington","Rectangular pen tray with applied strapwork and decorative art nouveau design, mother-of-pearl cabochons bezel-set at either end of rim.",T0017
414,Image;StillImage,image/jpeg,Unknown;Irish;Copper with painted wood;Ireland,JSMA2014:38.13,Unknown,Irish,ca. 1910,Box,Copper with painted wood,H. 3-1/2 x W. 10-1/8 x D. 5-1/8 inches,jsma2014_38_13,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27168;type=101,Ireland,"Copper box with chasing and repousse and riveted strap work. Side panels chased with morning glory vine and blossom motif against stippled background. Lid chased with crest, arms, and motto: ""fay bien - crain rien"" (do good fear nothing). Wood interior painted silver and divided into three sections.",N1493
415,Image;StillImage,image/jpeg,Unknown;British;Copper with wood liner;England,JSMA2014:38.14,Unknown,British,ca. 1910,Box,Copper with wood liner,H. 3-3/4 x W. 5-1/2 x D. 4-1/2 inches,jsma2014_38_14,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27169;type=101,England,Tapered box with hammered finish and riveted strapwork forming bracketed feet.,N0010
281,Image;StillImage,image/jpeg,"Birmingham Guild of Handicraft;British;Patinated copper;Birmingham, England",JSMA2014:38.15,Birmingham Guild of Handicraft,British,ca. 1900,Pitcher,Patinated copper,H. 8-3/8 x W. 6-1/8 x D. 4-3/4 inches,jsma2014_38_15,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27170;type=101,"Birmingham, England",The Birmingham Guild of Handicraft’s motto “By Hammer and Hand” is reflected in the visible hammer-marks of this copper pitcher. Copper was a popular material in Arts and Crafts metal production as it was relatively inexpensive and easy to work with. This footed pitcher has a beak spout and multi-form strap work handle with leaf-shaped thumb pieces and joints.,S0072
255,Image;StillImage,image/jpeg,Unknown;Undetermined;Copper with silver;,"JSMA2014:38.16a,b",Unknown,Undetermined,ca. 1910,Letter opener & pen tray,Copper with silver,a: H. 3/8 x W. 11-1/4 x D. 3-1/2 inches; b: 7-1/4 inches,jsma2014_38_16,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27171;type=101,,Oblong tray with hammered finish and applied silver strap work with matching letter opener. Letter opener has scimitar shape and matching silver strapwork.,T0018
572,Image;StillImage,image/jpeg,"Prosser, Elsie;New Zealand;Copper with enamel cabochons;Auckland, New Zealand",JSMA2014:38.17,"Prosser, Elsie",New Zealand,ca. 1900,Charger,Copper with enamel cabochons,Diam. 14-3/4 inches,jsma2014_38_17,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27172;type=101,"Auckland, New Zealand",Circular charger with conforming well and hammered finish. Four turquoise enamel cabochons bezel set in rim.,N0904
416,Image;StillImage,image/jpeg,"Pearson, John;British;Copper with wood liner;Newlyn, Cornwall, England",JSMA2014:38.18,"Pearson, John",British,1906,Humidor,Copper with wood liner,H. 4 -3/16 x W. 8 x D. 6-3/4 inches,jsma2014_38_18,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27173;type=101,"Newlyn, Cornwall, England","Copper humidor with hammered surface, hinged cover and clasp. Lid is decorated with riveted rims and chased motif of sitting dogs with vase and flowers. Front panel decorated with chased floral medallions.",P0143
